CAR_CHC_ID,Reference_Number,Adv_Name_E,Program,Dept_Code,Class_Group,Class_Lvl,Appl_Submitted,url
1005818,IRB17J-016148-000130,Head Scheduling Unit- ANTICIPATORY,INT,IRB,AS,02,27,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005818
1005824,PEN17J-009760-000071,Regional Manager Public Health,INT,PEN,NU,06,3,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005824
1005831,MOT17J-018091-000008,Defect Investigator- Automotive,JOP,MOT,TI,05,56,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005831
1005832,SVC17J-014800-000238,Economic Policy Analyst,INT,SVC,EC,04,67,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005832
1005860,SHC17J-017140-000112,"Executive Director, Controlled Substances Strategies and Transformation (Anticipatory)",INT,SHC,EX,02,36,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005860
1005896,DOE17J-017618-000147,Administrative Officer,INT,DOE,AS,02,21,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005896
1005911,IAN17J-015281-000062,Training Advisor,INT,IAN,EC,06,91,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005911
1005916,DUS17J-017779-000042,"Team Leader, Application Development",INT,DUS,CS,03,34,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005916
1005939,MOT17J-018091-000009,DEFECT INVESTIGATOR - AUTOMOTIVE - Anticipatory,JOP,MOT,TI,04,62,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005939
1005965,CSD17J-018181-000024,Learning Administrative Assistant (CR-04),JOP,CSD,CR,04,391,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005965
1005976,DFO17J-017114-000177,Fishery Officer Trainee,JOP,DFO,GT,02,1263,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005976
1006017,SVC17J-018044-000017,Client Accommodation Services Advisor (CASA) Trainee,INT,SVC,AS,03,42,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1006017
1006024,SVC17J-018044-000018,Regional Senior Client Accommodation Services Advisor (Anticipatory),INT,SVC,AS,06,14,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1006024
1006047,AGR17J-016947-000217,HR Specialist Advisor (AMENDMENT to CLOSING DATE),INT,AGR,PE,03,14,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1006047
1006050,EAA17J-011577-000257,Panel Management Jr Analyst,INT,EAA,PC,02,16,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1006050
1006096,SVC17J-016869-000195,Senior Project Leader **AMENDMENT TO CLOSING DATE**,INT,SVC,AS,07,28,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1006096
1006097,PEN17J-017539-000019,Assistant to Warden,INT,PEN,AS,01,43,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1006097
1006107,AHS17J-016088-000007,"Regional Director, Quebec (Anticipatory)",INT,AHS,EX,01,22,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1006107
