var temp_adv_data = `one_position,int_process,predicted,lower,upper,Class_Group,Class_Grp_Lvl,Dept_Code,Language,Region_NCR
0,1,27.66483913,13.93434124,54.92497356,TR,ANY,ANY,ANY,ANY
0,1,43.05369691,32.38174236,57.24277577,WP,ANY,ANY,ANY,ANY
1,1,4.550061524,2.692796127,7.68831315,AO,ANY,ANY,ANY,ANY
1,1,22.91124235,21.98224247,23.87950304,AS,ANY,ANY,ANY,ANY
1,1,11.03138626,7.311291652,16.64432068,AU,ANY,ANY,ANY,ANY
1,1,22.04880923,18.12825515,26.81725209,BI,ANY,ANY,ANY,ANY
1,1,12.73209404,8.303945142,19.52159076,CH,ANY,ANY,ANY,ANY
1,1,15.39696959,13.21805319,17.93506722,CO,ANY,ANY,ANY,ANY
1,1,27.24399165,24.89613983,29.81325965,CR,ANY,ANY,ANY,ANY
1,1,20.44745057,18.61295817,22.46275047,CS,ANY,ANY,ANY,ANY
1,1,40.47644101,28.75513308,56.97564577,CX,ANY,ANY,ANY,ANY
1,1,12.28075971,5.28853256,28.51775183,DD,ANY,ANY,ANY,ANY
1,1,13.74553227,9.239828763,20.44839383,DS,ANY,ANY,ANY,ANY
1,1,25.89395485,24.26594835,27.63118458,EC,ANY,ANY,ANY,ANY
1,1,15.04816648,9.977655853,22.69544248,ED,ANY,ANY,ANY,ANY
1,1,12.64166183,11.31398615,14.12513784,EG,ANY,ANY,ANY,ANY
1,1,11.48947762,8.272837566,15.95680985,EL,ANY,ANY,ANY,ANY
1,1,12.22644717,10.2864361,14.5323423,EN,ANY,ANY,ANY,ANY
1,1,21.6869178,19.79190976,23.76336642,EX,ANY,ANY,ANY,ANY
1,1,43.34575528,33.54134252,56.01607925,FB,ANY,ANY,ANY,ANY
1,1,30.39451115,27.05436981,34.14702743,FI,ANY,ANY,ANY,ANY
1,1,8.530975344,2.490564495,29.22130323,FO,ANY,ANY,ANY,ANY
1,1,7.396318994,4.921889554,11.11474243,FR,ANY,ANY,ANY,ANY
1,1,6.595475288,5.728664219,7.593444583,GL,ANY,ANY,ANY,ANY
1,1,10.08040665,8.319549323,12.21395467,GS,ANY,ANY,ANY,ANY
1,1,10.67517585,9.113640134,12.50426589,GT,ANY,ANY,ANY,ANY
1,1,9,2.562294421,31.61229223,HR,ANY,ANY,ANY,ANY
1,1,8.481225041,3.61728813,19.88538806,HS,ANY,ANY,ANY,ANY
1,1,16.09189136,14.30593679,18.10080466,IS,ANY,ANY,ANY,ANY
1,1,9.937213488,5.107483746,19.33402372,LC,ANY,ANY,ANY,ANY
1,1,12.80859481,10.61048189,15.46207823,LP,ANY,ANY,ANY,ANY
1,1,5.125286024,2.934803465,8.950703904,LS,ANY,ANY,ANY,ANY
1,1,13.28228196,7.298891589,24.17065822,MA,ANY,ANY,ANY,ANY
1,1,6.255838815,3.975090364,9.845189843,MT,ANY,ANY,ANY,ANY
1,1,31.41922876,28.99359172,34.04779737,Multi,ANY,ANY,ANY,ANY
1,1,12.17580294,7.315607048,20.26491804,NB,ANY,ANY,ANY,ANY
1,1,7.426721884,2.740297588,20.12781319,ND,ANY,ANY,ANY,ANY
1,1,5.789156011,4.691971775,7.142908978,NU,ANY,ANY,ANY,ANY
1,1,17.49123123,15.0983023,20.26341531,PC,ANY,ANY,ANY,ANY
1,1,16.56709481,15.09532047,18.18236526,PE,ANY,ANY,ANY,ANY
1,1,19.57222141,17.09134125,22.41321177,PG,ANY,ANY,ANY,ANY
1,1,31.13916473,29.02039339,33.41262701,PM,ANY,ANY,ANY,ANY
1,1,10.70649169,7.514523403,15.25432261,PO,ANY,ANY,ANY,ANY
1,1,2.034580351,1.204704214,3.43612744,PS,ANY,ANY,ANY,ANY
1,1,13.80232144,10.73380498,17.74804717,RE,ANY,ANY,ANY,ANY
1,1,6.746566443,4.113147758,11.06601597,SC,ANY,ANY,ANY,ANY
1,1,8.040207162,7.175228654,9.009459396,SE,ANY,ANY,ANY,ANY
1,1,19.97951541,13.91902122,28.67881512,SG,ANY,ANY,ANY,ANY
1,1,6.465043824,4.649838201,8.988870115,SO,ANY,ANY,ANY,ANY
1,1,6.347784732,3.847684939,10.47236758,SR,ANY,ANY,ANY,ANY
1,1,4.213993216,2.15789144,8.229208615,ST,ANY,ANY,ANY,ANY
1,1,8.989318172,4.22874797,19.10916464,SW,ANY,ANY,ANY,ANY
1,1,12.76578369,9.984957573,16.32107418,TI,ANY,ANY,ANY,ANY
1,1,11.15588441,5.614617887,22.16602439,TR,ANY,ANY,ANY,ANY
1,1,17.36146247,13.04191129,23.11167224,WP,ANY,ANY,ANY,ANY
0,0,37,7.577064257,180.6768365,AB,AB08,ANY,ANY,ANY
0,0,27.47030255,10.66946299,70.7268513,AO,AO03,ANY,ANY,ANY
0,0,42.03145173,16.67751464,105.9296287,AR,AR04,ANY,ANY,ANY
0,0,21.96520387,8.680486548,55.58100669,AR,AR05,ANY,ANY,ANY
0,0,22.78561732,6.067306657,85.57081187,AR,AR06,ANY,ANY,ANY
0,0,243.8011864,219.5015031,270.7909407,AS,AS01,ANY,ANY,ANY
0,0,219.3363003,200.5209135,239.9171826,AS,AS02,ANY,ANY,ANY
0,0,177.4567887,161.6163991,194.8497308,AS,AS03,ANY,ANY,ANY
0,0,180.6634401,162.9357782,200.3198988,AS,AS04,ANY,ANY,ANY
0,0,156.7707017,140.9647334,174.3489476,AS,AS05,ANY,ANY,ANY
0,0,130.4515775,114.0236079,149.2464095,AS,AS06,ANY,ANY,ANY
0,0,144.2517209,120.0078026,173.3933838,AS,AS07,ANY,ANY,ANY
0,0,227.7162905,104.1402444,497.9315082,AU,AU01,ANY,ANY,ANY
0,0,42.20203793,13.53241148,131.6108373,AU,AU03,ANY,ANY,ANY
0,0,53.83454763,26.16627968,110.7592885,AU,AU04,ANY,ANY,ANY
0,0,199.5288241,146.6180856,271.5337025,BI,BI02,ANY,ANY,ANY
0,0,240.2168907,183.3906003,314.6516478,BI,BI03,ANY,ANY,ANY
0,0,70.64963545,44.68730478,111.6955031,BI,BI04,ANY,ANY,ANY
0,0,120.418737,68.19507077,212.6351959,CH,CH03,ANY,ANY,ANY
0,0,148.4416398,110.7501355,198.9606634,CO,CO01,ANY,ANY,ANY
0,0,156.1938313,126.7626077,192.4582761,CO,CO02,ANY,ANY,ANY
0,0,346.3092368,254.9882821,470.3356816,CR,CR03,ANY,ANY,ANY
0,0,260.5736784,231.1445878,293.7496505,CR,CR04,ANY,ANY,ANY
0,0,205.4880295,183.8222502,229.7073952,CR,CR05,ANY,ANY,ANY
0,0,199.1752323,155.5632718,255.0137491,CS,CS01,ANY,ANY,ANY
0,0,156.1120183,136.6211368,178.3835417,CS,CS02,ANY,ANY,ANY
0,0,200.015112,169.2755817,236.3367749,CS,CS03,ANY,ANY,ANY
0,0,147.2835259,116.1918185,186.6950469,CS,CS04,ANY,ANY,ANY
0,0,120,25.1411428,572.7663262,DA,DA03,ANY,ANY,ANY
0,0,150.3579525,68.86655042,328.2800392,DS,DS02,ANY,ANY,ANY
0,0,171.3761843,78.53960327,373.9488783,DS,DS03,ANY,ANY,ANY
0,0,136.6655429,70.48977982,264.9670726,DS,DS04,ANY,ANY,ANY
0,0,145.3394559,91.07451524,231.9370835,EC,EC01,ANY,ANY,ANY
0,0,288.6230915,224.866802,370.4561466,EC,EC02,ANY,ANY,ANY
0,0,244.6291629,199.1779254,300.452107,EC,EC03,ANY,ANY,ANY
0,0,175.786922,151.1493736,204.4404236,EC,EC04,ANY,ANY,ANY
0,0,214.6330263,190.0782596,242.3598367,EC,EC05,ANY,ANY,ANY
0,0,219.9111303,193.4138827,250.0384386,EC,EC06,ANY,ANY,ANY
0,0,210.8665932,181.8566084,244.5042855,EC,EC07,ANY,ANY,ANY
0,0,78.8221102,44.75131669,138.8322292,ED,ED01,ANY,ANY,ANY
0,0,353.5865961,142.7570054,875.7782541,ED,ED02,ANY,ANY,ANY
0,0,99.65703575,48.93724539,202.9440909,ED,ED03,ANY,ANY,ANY
0,0,60.86592202,39.74248759,93.21662252,EG,EG02,ANY,ANY,ANY
0,0,159.0922588,120.4960322,210.0512884,EG,EG03,ANY,ANY,ANY
0,0,119.6906806,99.78917723,143.5612499,EG,EG04,ANY,ANY,ANY
0,0,115.260724,95.3290898,139.359712,EG,EG05,ANY,ANY,ANY
